Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240605_164038_v1,gpu,19,5.911,1.061,0.662,0.318,0.0
Synthetic_240605_164038_v2,gpu,19,5.508,0.955,0.645,0.312,0.0
Synthetic_240605_164038_v3,gpu,19,5.353,0.943,0.611,0.302,0.0
Synthetic_240605_164315_v1,gpu,20,9.064,2.351,0.957,0.418,0.0095
Synthetic_240605_164315_v2,gpu,20,9.032,2.453,0.979,0.419,0.0095
Synthetic_240605_165005_v1,gpu,19,5.356,0.965,0.618,0.297,0.0
Synthetic_240605_165005_v2,gpu,19,5.413,0.956,0.608,0.295,0.0
Synthetic_240605_165005_v3,gpu,19,5.369,0.955,0.609,0.294,0.0
Synthetic_240605_165240_v1,gpu,19,6.958,1.217,0.825,0.362,0.0
Synthetic_240605_165240_v2,gpu,20,7.216,1.507,0.848,0.36,0.0
Synthetic_240605_165240_v3,gpu,19,6.999,1.358,0.838,0.361,0.0
Synthetic_240605_165515_v1,gpu,19,8.416,1.621,1.056,0.471,0.0
Synthetic_240605_165515_v2,gpu,20,8.789,1.824,1.052,0.461,0.0
Synthetic_240605_165515_v3,gpu,19,8.566,1.622,1.073,0.48,0.0
Synthetic_240605_165749_v1,gpu,19,8.615,1.797,0.985,0.45,0.0
Synthetic_240605_165749_v2,gpu,19,8.6,1.746,0.986,0.451,0.0
Synthetic_240605_165749_v3,gpu,19,9.445,1.924,1.105,0.496,0.0
Synthetic_240605_170025_v1,gpu,19,10.303,2.025,1.12,0.556,0.0
Synthetic_240605_170025_v2,gpu,19,10.373,2.17,1.138,0.538,0.0
Synthetic_240605_170025_v3,gpu,20,10.865,2.287,1.119,0.548,0.0
Synthetic_240605_170259_v1,gpu,20,12.538,2.801,1.365,0.628,0.0
Synthetic_240605_170259_v2,gpu,19,12.888,3.202,1.369,0.635,0.0
Synthetic_240605_170259_v3,gpu,21,14.262,4.157,1.381,0.64,0.0
Synthetic_240605_170534_v1,gpu,20,13.957,3.839,1.319,0.623,0.0
Synthetic_240605_170534_v2,gpu,20,13.251,3.426,1.294,0.622,0.0
Synthetic_240605_170534_v3,gpu,20,13.325,3.342,1.312,0.623,0.0
Synthetic_240605_170809_v1,gpu,20,15.634,4.749,1.491,0.685,0.0
Synthetic_240605_170809_v2,gpu,20,15.24,4.679,1.48,0.673,0.0
Synthetic_240605_170809_v3,gpu,20,15.457,4.641,1.492,0.679,0.0
Synthetic_240605_171043_v1,gpu,23,19.037,6.97,1.49,0.67,0.005
Synthetic_240605_171043_v2,gpu,22,17.576,6.015,1.483,0.678,0.0005
Synthetic_240605_171043_v3,gpu,21,16.396,5.008,1.478,0.672,0.0
Synthetic_240605_171317_v1,gpu,23,21.072,7.567,1.567,0.742,0.0
Synthetic_240605_171317_v2,gpu,22,19.97,7.237,1.543,0.745,0.0195
Synthetic_240605_171317_v3,gpu,23,20.964,8.17,1.553,0.741,0.0145
Synthetic_240605_171552_v1,gpu,19,2.411,0.619,0.23,0.137,0.0
Synthetic_240605_171552_v2,gpu,19,2.383,0.62,0.224,0.134,0.0025
Synthetic_240605_171552_v3,gpu,19,2.396,0.621,0.229,0.137,0.0
Synthetic_240605_171826_v1,gpu,19,2.668,0.66,0.336,0.156,0.0
Synthetic_240605_171826_v2,gpu,20,2.84,0.664,0.326,0.164,0.0
Synthetic_240605_171826_v3,gpu,20,2.824,0.676,0.339,0.163,0.0
Synthetic_240605_172100_v1,gpu,19,3.23,0.752,0.349,0.18,0.0
Synthetic_240605_172100_v2,gpu,19,3.081,0.739,0.343,0.175,0.0
Synthetic_240605_172100_v3,gpu,19,3.209,0.719,0.349,0.179,0.0
Synthetic_240605_172334_v1,gpu,19,3.41,0.693,0.363,0.194,0.0
Synthetic_240605_172334_v2,gpu,19,3.391,0.694,0.359,0.189,0.0
Synthetic_240605_172334_v3,gpu,19,3.385,0.689,0.359,0.188,0.0
Synthetic_240605_172609_v1,gpu,19,3.868,0.727,0.409,0.224,0.0
Synthetic_240605_172609_v2,gpu,19,3.767,0.733,0.391,0.218,0.0
